position,playerId,playerName,minutesPlayed,expected_danger_per_90,danger_passes_per_90,total_danger,total_danger_passes,total_passes
LCB3,71703,V. Lindelöf,44.0,0.3025162279100649,0.0,0.1478968225338095,0,17
LDMF,71703,V. Lindelöf,12.0,0.4102902166151857,0.0,0.0547053622153581,0,4
RB,71703,V. Lindelöf,51.0,0.33893321552834893,1.7647058823529411,0.1920621554660644,1,16
RCB,71703,V. Lindelöf,63.0,0.7649773099216848,2.8571428571428568,0.5354841169451793,2,32
RCB3,71703,V. Lindelöf,200.0,0.6750757152162461,0.0,1.5001682560361025,0,149
LWB,83150,V. Coufal,8.0,1.2546364765278961,11.25,0.11152324235803521,1,5
RB,83150,V. Coufal,794.0,0.5745468799437531,2.947103274559194,5.068780251948222,26,361
RB5,83150,V. Coufal,182.0,0.03958882129145057,0.0,0.0800573941671556,0,9
RCB3,83150,V. Coufal,227.0,0.5447705742597206,1.9823788546255507,1.3740324484106288,5,118
RWB,83150,V. Coufal,239.0,0.4873923504106222,3.01255230125523,1.2942974638682079,8,101
DMF,95349,W. Endo,16.0,0.32487000833635876,5.625,0.057754668148686,1,3
LCMF,95349,W. Endo,29.0,0.11263328177868216,0.0,0.0362929463509087,0,3
LDMF,95349,W. Endo,20.0,0.40005147731516016,0.0,0.0889003282922578,0,11
RB,95349,W. Endo,37.0,0.6341663461379553,2.4324324324324325,0.2607128311900483,1,20
RCB,95349,W. Endo,26.0,0.7580390155464676,0.0,0.2189890489356462,0,25
RCMF,95349,W. Endo,15.0,0.1482540344245296,0.0,0.024709005737421602,0,3
RDMF,95349,W. Endo,215.0,0.5827865916775903,1.255813953488372,1.3922124134520213,3,125
GK,104851,M. Dúbravka,900.0,0.34863421945187645,0.1,3.4863421945187643,1,294
AMF,105333,Willian,49.0,0.40448840742647596,1.8367346938775508,0.2202214662655258,1,23
LAMF,105333,Willian,229.0,0.745292589822006,5.109170305676856,1.8963555896582152,13,148
LWF,105333,Willian,102.0,0.3681587287875166,2.6470588235294117,0.4172465592925188,3,34
AMF,112392,R. Jiménez,180.0,0.19790834634856627,2.0,0.3958166926971326,4,9
CF,112392,R. Jiménez,2467.0,0.2806115307913255,1.6781516011349817,7.691873849579999,46,567
LWF,112392,R. Jiménez,90.0,0.01125134660376,0.0,0.01125134660376,0,2
SS,112392,R. Jiménez,71.0,0.3283633931601752,1.267605633802817,0.259042232381916,1,19
RAMF,120353,Mohamed Salah,2926.0,0.5403524208506482,5.3520164046479834,17.567457593433293,174,1026
RW,120353,Mohamed Salah,450.0,0.3004395891356175,3.0,1.5021979456780876,15,83
RWB,120353,Mohamed Salah,180.0,0.0987059488510892,1.0,0.19741189770217843,2,15
RWF,120353,Mohamed Salah,523.0,0.39191346874160604,3.9579349904397705,2.2774527127984436,23,124
LB,134102,N. Aké,90.0,0.5643975430093155,1.0,0.5643975430093155,1,63
LCB,134102,N. Aké,591.0,0.6093617741260576,0.15228426395939085,4.001475650094445,1,435
LCB3,134102,N. Aké,6.0,0.8235107174467801,0.0,0.054900714496452,0,6
CF,134717,L. Trossard,1244.0,0.3822579445335423,2.387459807073955,5.283654255552518,33,378
LAMF,134717,L. Trossard,64.0,0.2798316612898504,1.40625,0.1989914035838936,1,15
LCB,134717,L. Trossard,36.0,0.309290651380651,2.5,0.1237162605522604,1,6
LW,134717,L. Trossard,789.0,0.13809060887887975,1.4828897338403042,1.2105943378381792,13,97
LWB,134717,L. Trossard,64.0,0.025679023019590783,0.0,0.018260638591709,0,2
LWF,134717,L. Trossard,1349.0,0.48493527842092476,4.80355819125278,7.268641006553639,72,453
RW,134717,L. Trossard,90.0,0.025055934178677797,0.0,0.025055934178677797,0,2
LCB,136441,B. Davies,1350.0,0.6104170032450519,0.4,9.156255048675778,6,848
LCB3,136441,B. Davies,90.0,0.4768663938642097,0.0,0.4768663938642097,0,47
GK,136509,D. Ward,137.0,0.29128845066805137,0.0,0.4434057526835893,0,45
CB,145787,J. Andersen,810.0,0.45347993409096204,0.6666666666666667,4.0813194068186585,6,407
LCB,145787,J. Andersen,180.0,0.6253253313005183,0.0,1.2506506626010365,0,119
RCB,145787,J. Andersen,1953.0,0.7045795919753582,0.9216589861751152,15.289377145865272,20,1479
RCB3,145787,J. Andersen,180.0,0.0436692592247792,0.0,0.0873385184495584,0,7
LAMF,173214,T. Werner,103.0,0.5749844928149287,6.116504854368932,0.6580378084437517,7,41
LCMF3,173214,T. Werner,21.0,1.078490320075087,8.571428571428571,0.25164774135085366,2,11
LW,173214,T. Werner,211.0,0.6437737649875545,6.398104265402844,1.5092918268041553,15,85
LWF,173214,T. Werner,196.0,0.48761506711189645,5.051020408163265,1.061917257265908,11,60
RW,173214,T. Werner,21.0,0.8628455736079816,8.571428571428571,0.2013306338418624,2,20
RWF,173214,T. Werner,45.0,0.4720756174765074,4.0,0.2360378087382537,2,18
AMF,192755,B. De Cordova-Reid,22.0,0.6403814063630145,4.090909090909091,0.15653767711095912,1,10
CF,192755,B. De Cordova-Reid,13.0,0.18649474929545537,0.0,0.026938130453787998,0,3
LAMF,192755,B. De Cordova-Reid,212.0,0.2541496293432629,1.2735849056603774,0.5986635713419082,3,57
LCMF3,192755,B. De Cordova-Reid,84.0,0.3623077318302161,1.0714285714285714,0.33815388304153504,1,20
LW,192755,B. De Cordova-Reid,157.0,0.2725501979707717,0.5732484076433121,0.4754486786823461,1,43
RAMF,192755,B. De Cordova-Reid,170.0,0.18480499395582528,2.1176470588235294,0.3490760996943366,4,34
RB,192755,B. De Cordova-Reid,7.0,0.3058028918962406,12.857142857142856,0.023784669369707603,1,2
RDMF,192755,B. De Cordova-Reid,40.0,0.2179189328460952,2.25,0.09685285904270897,1,13
RW,192755,B. De Cordova-Reid,104.0,0.12626812125460601,0.0,0.1459098290053225,0,18
RWF,192755,B. De Cordova-Reid,13.0,0.15763047773775715,0.0,0.0227688467843427,0,5
CB,192792,D. Burn,180.0,0.11708843904452589,0.0,0.2341768780890518,0,27
LCB,192792,D. Burn,3150.0,0.5469332549387564,0.5142857142857142,19.142663922856478,18,1615
LCB3,192792,D. Burn,450.0,0.4745034806583018,0.0,2.372517403291509,0,221
LAMF,213312,M. Almirón,7.0,0.11209942200105001,0.0,0.008718843933415,0,1
LWF,213312,M. Almirón,7.0,0.08985167718521272,0.0,0.0069884637810721,0,2
RWF,213312,M. Almirón,184.0,0.3080634605077883,2.4456521739130435,0.6298186303714783,5,62
GK,214220,Alisson,2510.0,0.35496491317317086,0.07171314741035857,9.899577022940655,2,873
DMF,217031,T. Partey,1826.0,0.48956069703899463,1.1829134720700984,9.932642586591157,24,992
LCMF,217031,T. Partey,270.0,0.3046353649465005,1.0,0.9139060948395015,3,89
RB,217031,T. Partey,985.0,0.4629564253467846,1.4619289340101524,5.066800877406476,16,526
RCB,217031,T. Partey,180.0,0.13048677878760712,0.0,0.26097355757521423,0,27
RCMF,217031,T. Partey,535.0,0.2774210972787794,0.33644859813084116,1.649114300490522,2,177
RCMF3,217031,T. Partey,9.0,0.29401771221549705,0.0,0.029401771221549702,0,3
RDMF,217031,T. Partey,270.0,0.2334115153092257,1.0,0.7002345459276771,3,77
RW,217031,T. Partey,90.0,0.0304274991307229,0.0,0.0304274991307229,0,3
GK,219526,M. Flekken,3276.0,0.46812020968134266,0.27472527472527475,17.039575632400872,10,1564
LB,222220,A. Robertson,2516.0,0.8717508816002333,5.580286168521463,24.370280201179852,156,1846
LB5,222770,Nélson Semedo,90.0,0.016027826350295,0.0,0.016027826350295,0,2
LWB,222770,Nélson Semedo,359.0,0.10328117853077104,0.0,0.4119771454727422,0,49
RB,222770,Nélson Semedo,782.0,0.3652491013645662,1.381074168797954,3.1736088585232305,12,303
RB5,222770,Nélson Semedo,360.0,0.17955940046618393,1.25,0.7182376018647357,5,41
RCB3,222770,Nélson Semedo,583.0,0.3037866895710206,0.30874785591766724,1.9678626668878336,2,179
RWB,222770,Nélson Semedo,2162.0,0.40333204950812906,1.8316373728029602,9.68893212262861,44,776
AMF,223794,J. McGinn,466.0,0.4721142811168867,3.0901287553648067,2.4445028333385466,16,131
LAMF,223794,J. McGinn,593.0,0.5538862953961986,4.856661045531197,3.6494952574438417,32,190
LB5,223794,J. McGinn,36.0,0.0634907761171425,0.0,0.025396310446857,0,2
LW,223794,J. McGinn,527.0,0.2002336878087818,1.366223908918406,1.1724794830580891,8,74
RAMF,223794,J. McGinn,411.0,0.22996130467086315,2.408759124087591,1.0501566246636085,11,103
RCMF,223794,J. McGinn,176.0,0.5263106702991761,2.0454545454545454,1.0292297552517222,4,89
RDMF,223794,J. McGinn,241.0,0.544629056734285,2.240663900414938,1.4583955852551407,6,148
RW,223794,J. McGinn,491.0,0.3158178382520159,2.3828920570264764,1.7229617620193314,13,85
SS,223794,J. McGinn,115.0,0.10489240950713469,0.782608695652174,0.13402918992578322,1,13
AMF,225947,Adama Traoré,132.0,0.20022194222622638,1.3636363636363638,0.29365884859846536,2,21
LAMF,225947,Adama Traoré,353.0,0.22844757916336064,1.7847025495750708,0.8960221716074034,7,64
LW,225947,Adama Traoré,90.0,0.3538722922342614,2.0,0.3538722922342614,2,26
LWF,225947,Adama Traoré,157.0,0.06535944395988082,0.0,0.1140159189077921,0,9
